Author;Probability;Topic
Сумароков;16.67;Topic0
Сумароков;16.67;Topic1
Сумароков;16.67;Topic2
Сумароков;16.67;Topic3
Сумароков;16.67;Topic4
Сумароков;16.67;Topic5
Островский;16.67;Topic0
Островский;16.67;Topic1
Островский;16.67;Topic2
Островский;16.67;Topic3
Островский;16.67;Topic4
Островский;16.67;Topic5
Фонвизин;16.67;Topic0
Фонвизин;16.67;Topic1
Фонвизин;16.67;Topic2
Фонвизин;16.67;Topic3
Фонвизин;16.67;Topic4
Фонвизин;16.67;Topic5
Булгаков;16.67;Topic0
Булгаков;16.67;Topic1
Булгаков;16.67;Topic2
Булгаков;16.67;Topic3
Булгаков;16.67;Topic4
Булгаков;16.67;Topic5
Чехов;16.67;Topic0
Чехов;16.67;Topic1
Чехов;16.67;Topic2
Чехов;16.67;Topic3
Чехов;16.67;Topic4
Чехов;16.67;Topic5
Крылов;16.67;Topic0
Крылов;16.67;Topic1
Крылов;16.67;Topic2
Крылов;16.67;Topic3
Крылов;16.67;Topic4
Крылов;16.67;Topic5
Гоголь;16.67;Topic0
Гоголь;16.67;Topic1
Гоголь;16.67;Topic2
Гоголь;16.67;Topic3
Гоголь;16.67;Topic4
Гоголь;16.67;Topic5
Шаховской;16.67;Topic0
Шаховской;16.67;Topic1
Шаховской;16.67;Topic2
Шаховской;16.67;Topic3
Шаховской;16.67;Topic4
Шаховской;16.67;Topic5
Пушкин;16.67;Topic0
Пушкин;16.67;Topic1
Пушкин;16.67;Topic2
Пушкин;16.67;Topic3
Пушкин;16.67;Topic4
Пушкин;16.67;Topic5
Сухово-Кобылин;16.67;Topic0
Сухово-Кобылин;16.67;Topic1
Сухово-Кобылин;16.67;Topic2
Сухово-Кобылин;16.67;Topic3
Сухово-Кобылин;16.67;Topic4
Сухово-Кобылин;16.67;Topic5
